,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2019-03-26T00:00:00.000Z,8.32,8.55,8.18,8.52,316453,8.1804387097,8.4065806452,8.0427870968,8.377083871,316453,0.0,1.0
1,2019-03-27T00:00:00.000Z,8.27,8.4,8.24,8.33,157887,8.1312774194,8.2590967742,8.1017806452,8.1902709677,157887,0.0,1.0
2,2019-03-28T00:00:00.000Z,8.24,8.33,8.23,8.26,114004,8.1017806452,8.1902709677,8.0919483871,8.1214451613,114004,0.0,1.0
3,2019-03-29T00:00:00.000Z,8.43,8.47,8.28,8.33,245100,8.2885935484,8.3279225806,8.1411096774,8.1902709677,245100,0.0,1.0
4,2019-04-01T00:00:00.000Z,8.73,8.75,8.47,8.48,263868,8.5835612903,8.6032258065,8.3279225806,8.3377548387,263868,0.0,1.0
5,2019-04-02T00:00:00.000Z,8.7,8.77,8.58,8.77,287207,8.5540645161,8.6228903226,8.4360774194,8.6228903226,287207,0.0,1.0
6,2019-04-03T00:00:00.000Z,8.63,8.8,8.56,8.73,482943,8.4852387097,8.6523870968,8.4164129032,8.5835612903,482943,0.0,1.0
7,2019-04-04T00:00:00.000Z,8.69,8.73,8.56,8.63,171065,8.5442322581,8.5835612903,8.4164129032,8.4852387097,171065,0.0,1.0
8,2019-04-05T00:00:00.000Z,8.66,8.8,8.62,8.7,142012,8.5147354839,8.6523870968,8.4754064516,8.5540645161,142012,0.0,1.0
9,2019-04-08T00:00:00.000Z,8.51,8.67,8.5,8.67,195183,8.3672516129,8.5245677419,8.3574193548,8.5245677419,195183,0.0,1.0
10,2019-04-09T00:00:00.000Z,8.57,8.6,8.44,8.52,108350,8.4262451613,8.4557419355,8.2984258065,8.377083871,108350,0.0,1.0
11,2019-04-10T00:00:00.000Z,8.73,8.77,8.53,8.57,121428,8.5835612903,8.6228903226,8.386916129,8.4262451613,121428,0.0,1.0
12,2019-04-11T00:00:00.000Z,8.59,8.8,8.58,8.74,110245,8.4459096774,8.6523870968,8.4360774194,8.5933935484,110245,0.0,1.0
13,2019-04-12T00:00:00.000Z,8.96,8.99,8.62,8.63,309259,8.8097032258,8.8392,8.4754064516,8.4852387097,309259,0.0,1.0
14,2019-04-15T00:00:00.000Z,8.93,8.99,8.88,8.97,151095,8.7802064516,8.8392,8.7310451613,8.8195354839,151095,0.0,1.0
15,2019-04-16T00:00:00.000Z,9.05,9.1,8.84,8.93,109720,8.8981935484,8.9473548387,8.691716129,8.7802064516,109720,0.0,1.0
16,2019-04-17T00:00:00.000Z,9.22,9.28,9.06,9.15,296471,9.0653419355,9.1243354839,8.9080258065,8.996516129,296471,0.0,1.0
