TimeStamp,ReactivePower_kVAr,Power_kW,WindSpeed_mps,ErrorCode,GenState,RunState,RotorSpeed_rpm,RotorSpeedAve,RotorOverSpeed,RotorUnderSpeed
2018-04-01 02:21:53.140,914,-1,5.670502,416,1,3,0.03000221,0.003014828,0,0
2018-04-01 02:21:55.203,914,-1,5.562928,416,1,3,0.03000221,0.003139408,0,0
2018-04-01 02:23:48.776,914,-1,3.947036,416,1,3,0,1.998664E-006,0,0
2018-04-01 02:24:47.971,913,-1,5.329471,416,1,3,0,1.228122E-010,0,0
2018-04-01 02:27:03.767,913,-1,5.150944,416,1,3,0.07500553,0.007405859,0,0
2018-04-01 02:27:13.010,913,-1,6.214092,416,1,3,0.09000664,0.009424678,0,0
2018-04-01 02:27:51.836,912,-1,3.68039,416,1,3,0.04500332,0.004912463,0,0
2018-04-01 02:28:10.262,912,-1,6.972829,416,1,3,0.06000442,0.006277235,0,0
2018-04-01 02:28:19.485,913,-1,4.439127,416,1,3,0.06000442,0.006283185,0,0
2018-04-01 02:28:39.845,913,-1,3.581972,416,1,3,0.07500553,0.008512915,0,0
2018-04-01 02:30:04.807,913,-1,4.40594,416,1,3,0.03000221,0.003141593,0,0
2018-04-01 02:30:21.100,913,-1,4.48147,416,1,3,0.01500111,0.00158851,0,0
2018-04-01 02:33:51.423,912,-1,5.549195,416,1,3,0.09000664,0.009425328,0,0
2018-04-01 02:37:49.886,911,-1,4.766426,416,1,3,0.01500111,0.001571305,0,0
2018-04-01 02:38:27.730,912,-1,5.220753,416,1,3,0,4.465428E-014,0,0
2018-04-01 02:38:35.832,911,-1,4.331554,416,1,3,0,1.866349E-021,0,0
2018-04-01 02:39:44.190,911,-1,4.19537,416,1,3,0,1.85797E-023,0,0
2018-04-01 02:41:03.033,910,-1,6.227825,416,1,3,0.03000221,0.003138002,0,0
2018-04-01 02:41:32.606,910,-1,6.742805,416,1,3,0,6.275607E-020,0,0
2018-04-01 02:44:00.809,912,-1,5.736877,416,1,3,0.06000442,0.006283217,0,0
2018-04-01 02:46:09.584,912,-1,5.525163,416,1,3,0.03000221,0.003141696,0,0
2018-04-01 02:47:35.608,913,-1,5.834151,416,1,3,0.01500111,0.001569541,0,0
2018-04-01 02:51:01.133,912,-1,4.864844,416,1,3,0,-1.205686E-006,0,0
2018-04-01 02:51:03.216,912,-1,4.987295,416,1,3,0,-1.630753E-008,0,0
2018-04-01 02:53:27.153,911,-1,4.687462,416,1,3,0,1.197275E-020,0,0
2018-04-01 02:54:55.130,913,-1,7.309283,416,1,3,0.04500332,0.004712388,0,0
2018-04-01 02:55:06.376,912,-1,6.804602,416,1,3,0.04500332,0.004184761,0,0
2018-04-01 02:59:01.234,910,-1,6.865255,416,1,3,0.1200088,0.01256664,0,0
2018-04-01 03:00:38.524,909,-1,6.167171,416,1,3,0.06000442,0.00628203,0,0
2018-04-01 03:01:58.248,908,-1,5.623581,416,1,3,0,4.036393E-014,0,0
2018-04-01 03:02:39.087,907,-1,4.237713,416,1,3,0,3.363568E-015,0,0
2018-04-01 03:02:55.451,907,-1,5.712845,416,1,3,0,1.593126E-014,0,0
2018-04-01 03:03:13.757,907,-1,6.223247,416,1,3,0.03000221,0.003188331,0,0
2018-04-01 03:04:09.878,906,-1,4.139295,416,1,3,0,0.0002213346,0,0
2018-04-01 03:05:24.365,908,-1,6.339976,416,1,3,0,6.935383E-022,0,0
